gvkey,cik,quarter
066368,0001014473,2021Q1
064925,0001037540,2021Q1
024731,0000879101,2021Q1
160329,0001652044,2021Q1
121718,0001043604,2021Q1
149070,0001156375,2021Q1
175263,0001365135,2021Q1
260774,0001138118,2021Q1
165993,0001136893,2021Q1
111864,0001058290,2021Q1
029875,0000915912,2021Q1
064891,0001037038,2021Q1
011115,0000203527,2021Q1
065609,0001043277,2021Q1
007063,0001070750,2021Q1
142953,0001103982,2021Q1
157057,0001267238,2021Q1
177376,0001393612,2021Q1
125595,0001086222,2021Q1
027965,0000827054,2021Q1
163610,0001571949,2021Q1
126296,0001324424,2021Q1
004494,0000746515,2021Q1
006216,0000052988,2021Q1
105365,0001053507,2021Q1
179621,0001413329,2021Q1
013125,0000765880,2021Q1
136725,0001035267,2021Q1
020548,0000858470,2021Q1
160225,0001141391,2021Q1
061483,0000927066,2021Q1
029804,0000914208,2021Q1
163946,0001324404,2021Q1
157855,0001108524,2021Q1
014225,0000815556,2021Q1
005492,0000202058,2021Q1
014359,0001038357,2021Q1
014282,0000820313,2021Q1
149337,0001120193,2021Q1
011550,0000783325,2021Q1
013353,0000107815,2021Q1
009777,0000091419,2021Q1
016245,0001378946,2021Q1
013700,0000818479,2021Q1
149318,0001174922,2021Q1
112168,0001060391,2021Q1
028477,0000354908,2021Q1
062374,0001020569,2021Q1
005543,0000766704,2021Q1
110179,0000740260,2021Q1
005709,0000048465,2021Q1
007970,0000072741,2021Q1
028180,0000898173,2021Q1
066446,0001050915,2021Q1
011399,0000106040,2021Q1
004510,0000037785,2021Q1
119314,0001075531,2021Q1
179534,0001403161,2021Q1
009248,0000745732,2021Q1
024925,0000882835,2021Q1
135990,0001013871,2021Q1
002176,0001067983,2021Q1
164296,0001437107,2021Q1
008151,0001039684,2021Q1
012850,0000804753,2021Q1
064410,0001170010,2021Q1
028034,0000896159,2021Q1
006268,0000833444,2021Q1
005959,0001466258,2021Q1
147579,0001065280,2021Q1
121077,0001048695,2021Q1
133366,0001099800,2021Q1
124434,0002012383,2021Q1
165914,0001058090,2021Q1
029984,0001045609,2021Q1
186989,0001510295,2021Q1
143357,0001467373,2021Q1
162129,0001285785,2021Q1
177267,0001385157,2021Q1
189491,0001524472,2021Q1
028742,0000908255,2021Q1
024782,0001585364,2021Q1
031587,0000935703,2021Q1
113490,0001051470,2021Q1
170841,0001534701,2021Q1
006310,0001506307,2021Q1
062263,0000899866,2021Q1
006565,0000707549,2021Q1
024316,0000865752,2021Q1
150937,0001137789,2021Q1
294524,0001489393,2021Q1
008463,0000077360,2021Q1
004016,0000029534,2021Q1
141459,0001121788,2021Q1
118122,0001521332,2021Q1
016101,0001551152,2021Q1
008551,0000078239,2021Q1
023812,0000872589,2021Q1
006335,0000054480,2021Q1
005073,0001467858,2021Q1
013721,0001555280,2021Q1
018043,0001564708,2021Q1
100873,0001492633,2021Q1
003851,0000027904,2021Q1
024344,0000875320,2021Q1
001598,0001037868,2021Q1
316056,0001579241,2021Q1
170617,0001326801,2021Q1
025119,0000851968,2021Q1
029736,0000916365,2021Q1
030293,0000920522,2021Q1
165052,0001336917,2021Q1
180711,0001730168,2021Q1
029733,0000916076,2021Q1
011032,0000352915,2021Q1
066065,0001067701,2021Q1
028191,0000884887,2021Q1
022260,0000860730,2021Q1
001327,0000004127,2021Q1
061494,0001000228,2021Q1
001045,0000006201,2021Q1
138743,0001101239,2021Q1
175319,0001359841,2021Q1
030822,0000726728,2021Q1
064853,0001604778,2021Q1
005783,0000728535,2021Q1
005568,0001637459,2021Q1
145977,0001158449,2021Q1
024616,0001633917,2021Q1
180405,0000718877,2021Q1
010795,0000100517,2021Q1
180652,0001442145,2021Q1
026156,0001645590,2021Q1
020686,0001601712,2021Q1
138205,0001110803,2021Q1
003026,0000313927,2021Q1
144009,0001140536,2021Q1
160479,0001289490,2021Q1
004605,0000034903,2021Q1
021825,0000759944,2021Q1
179437,0001410636,2021Q1
010894,0000074208,2021Q1
020904,0000859737,2021Q1
145552,0001071739,2021Q1
178704,0001403568,2021Q1
141913,0001123360,2021Q1
001230,0000766421,2021Q1
160991,0001297996,2021Q1
155394,0001065696,2021Q1
004973,0000354190,2021Q1
148349,0001260221,2021Q1
188255,0001519751,2021Q1
029751,0000915913,2021Q1
011554,0000352541,2021Q1
026590,0001659166,2021Q1
065772,0001037646,2021Q1
126136,0001091667,2021Q1
003504,0000711404,2021Q1
029649,0000912595,2021Q1
024197,0000874716,2021Q1
029127,0000879169,2021Q1
184500,0001374310,2021Q1
029099,0000910606,2021Q1
060900,0001001082,2021Q1
024975,0000883241,2021Q1
008898,0000720005,2021Q1
064821,0001035443,2021Q1
001161,0000002488,2021Q1
003336,0001688568,2021Q1
012441,0000749251,2021Q1
162906,0001598014,2021Q1
061388,0001095073,2021Q1
005643,0001585689,2021Q1
063080,0001013462,2021Q1
141384,0001097149,2021Q1
031887,0000943819,2021Q1
009771,0000091142,2021Q1
128978,0000075677,2021Q1
014418,0000789570,2021Q1
013510,0000783280,2021Q1
017928,0001478242,2021Q1
121382,0001034054,2021Q1
004060,0001666700,2021Q1
013421,0000813672,2021Q1
104432,0001513761,2021Q1
186310,0001501585,2021Q1
175955,0001111928,2021Q1
017120,0000719739,2021Q1
064630,0000946581,2021Q1
178507,0001408198,2021Q1
013619,0000815094,2021Q1
006338,0001711269,2021Q1
018872,0001418091,2021Q1
176928,0001383312,2021Q1
005667,0001915657,2021Q1
184700,0001175454,2021Q1
029901,0000900075,2021Q1
020748,0001596532,2021Q1
009225,0000084839,2021Q1
183377,0001262039,2021Q1
025124,0001707925,2021Q1
020232,0001601046,2021Q1
011811,0000779152,2021Q1
170750,0001539838,2021Q1
014256,0000743316,2021Q1
028790,0001679273,2021Q1
162254,0001306830,2021Q1
014275,0001132979,2021Q1
010407,0000096943,2021Q1
004383,0000731802,2021Q1
060979,0000943452,2021Q1
034636,0001754301,2021Q1
034443,0001751788,2021Q1
035168,0001755672,2021Q1
100243,0001748790,2021Q1
158742,0001278021,2021Q1
017874,0001283699,2021Q1
015267,0000832101,2021Q1
165123,0001336920,2021Q1
028320,0001402057,2021Q1
012459,0000906163,2021Q1
161844,0001300514,2021Q1
171007,0001373715,2021Q1
014822,0000011544,2021Q1
024617,0000878927,2021Q1
025313,0001757898,2021Q1
165746,0001335258,2021Q1
024405,0000877212,2021Q1
020116,0001590955,2021Q1
030098,0001699150,2021Q1
036190,0001781335,2021Q1
036191,0001783180,2021Q1
160211,0001286681,2021Q1
162887,0001093557,2021Q1
011376,0000105770,2021Q1
010789,0000860731,2021Q1
002220,0000012208,2021Q1
126721,0001094285,2021Q1
023238,0001370637,2021Q1
020228,0001596783,2021Q1
010453,0000097210,2021Q1
061420,0000945841,2021Q1
007637,0001792044,2021Q1
184996,0001318605,2021Q1
187450,0001463101,2021Q1
022815,0000864749,2021Q1
160888,0001280452,2021Q1
184725,0001413447,2021Q1
021808,0001590895,2021Q1
183736,0001474735,2021Q1
030259,0000921738,2021Q1
009846,0000827052,2021Q2
003413,0001047862,2021Q2
004503,0000034088,2021Q2
001300,0000773840,2021Q2
002991,0000093410,2021Q2
006104,0000051434,2021Q2
003897,0000936340,2021Q2
007017,0000101778,2021Q2
009850,0000092122,2021Q2
008539,0001109357,2021Q2
008810,0000788784,2021Q2
007977,0000072903,2021Q2
001440,0000004904,2021Q2
005046,0000040533,2021Q2
003144,0000021344,2021Q2
004199,0001551182,2021Q2
005047,0000040545,2021Q2
006066,0000051143,2021Q2
008479,0000077476,2021Q2
008543,0000764180,2021Q2
008549,0001163165,2021Q2
005597,0000047111,2021Q2
006502,0000056873,2021Q2
007241,0000064803,2021Q2
007163,0000064040,2021Q2
006435,0000055785,2021Q2
010983,0000101829,2021Q2
008762,0000080424,2021Q2
002817,0000018230,2021Q2
003170,0000021665,2021Q2
003835,0000315189,2021Q2
002403,0000014272,2021Q2
002285,0000012927,2021Q2
004839,0000037996,2021Q2
001078,0000001800,2021Q2
002663,0000016732,2021Q2
029830,0001732845,2021Q2
008530,0000078003,2021Q2
003532,0000024741,2021Q2
008247,0000079879,2021Q2
007435,0000066740,2021Q2
007257,0000310158,2021Q2
007585,0000068505,2021Q2
028192,0000004281,2021Q2
007366,0000065984,2021Q2
005439,0000045012,2021Q2
008099,0001031296,2021Q2
010499,0000097476,2021Q2
011465,0000106640,2021Q2
006375,0000055067,2021Q2
011456,0000106535,2021Q2
009667,0000089800,2021Q2
003650,0000026172,2021Q2
004321,0000032604,2021Q2
009465,0000087347,2021Q2
003121,0000021076,2021Q2
005071,0000040704,2021Q2
007881,0001164727,2021Q2
010867,0000100885,2021Q2
007154,0000063908,2021Q2
006730,0000059478,2021Q2
002111,0000010795,2021Q2
002086,0000010456,2021Q2
006266,0000200406,2021Q2
005125,0000040987,2021Q2
005606,0000047217,2021Q2
011506,0000107263,2021Q2
006078,0000051253,2021Q2
007647,0000070858,2021Q2
004517,0000753308,2021Q2
003980,0001744489,2021Q2
001447,0000004962,2021Q2
003505,0000024545,2021Q2
004093,0001326160,2021Q2
062689,0000086312,2021Q2
006742,0000059558,2021Q2
002968,0000019617,2021Q2
008007,0000072971,2021Q2
006008,0000050863,2021Q2
003813,0000027419,2021Q2
010519,0000217346,2021Q2
011060,0000103379,2021Q2
011264,0001618921,2021Q2
139665,0001059556,2021Q2
001487,0000005272,2021Q2
008253,0000075362,2021Q2
004598,0001048911,2021Q2
002574,0000277948,2021Q2
001891,0000008670,2021Q2
005256,0000277135,2021Q2
007085,0000062996,2021Q2
001722,0000007084,2021Q2
002547,0001739940,2021Q2
007923,0000702165,2021Q2
011259,0000104169,2021Q2
009778,0000091440,2021Q2
010016,0000093556,2021Q2
002435,0000014693,2021Q2
001690,0000320193,2021Q2
008068,0000797468,2021Q2
004029,0000715957,2021Q2
003362,0000023217,2021Q2
006733,0000701985,2021Q2
002136,0000732712,2021Q2
009899,0000732717,2021Q2
006829,0000060667,2021Q2
008823,0000822416,2021Q2
001380,0000004447,2021Q2
006774,0000936468,2021Q2
005518,0000046080,2021Q2
001988,0000009389,2021Q2
001209,0000002969,2021Q2
008030,0000073309,2021Q2
004145,0000031791,2021Q2
007985,0001133421,2021Q2
005742,0001130310,2021Q2
011672,0000109198,2021Q2
004058,0000029905,2021Q2
008358,0000076334,2021Q2
005878,0000049826,2021Q2
004990,0000039911,2021Q2
007228,0001613103,2021Q2
010247,0000096021,2021Q2
032106,0001701605,2021Q2
007065,0000062709,2021Q2
001913,0000008818,2021Q2
005680,0000354950,2021Q2
008245,0000713676,2021Q2
003243,0000831001,2021Q2
007906,0000320187,2021Q2
004213,0000031462,2021Q2
007875,0000814453,2021Q2
010614,0000320335,2021Q2
012142,0001341439,2021Q2
001878,0000769397,2021Q2
010860,0001002910,2021Q2
001602,0000318154,2021Q2
006136,0000051644,2021Q2
029028,0000909832,2021Q2
020779,0000858877,2021Q2
029392,0000915389,2021Q2
009783,0000091576,2021Q2
012726,0000005513,2021Q2
012141,0000789019,2021Q2
010903,0000731766,2021Q2
009882,0000092380,2021Q2
007343,0000723125,2021Q2
013714,0000813828,2021Q2
025279,0000885725,2021Q2
001704,0000006951,2021Q2
002019,0001390777,2021Q2
006781,0000060086,2021Q2
031846,0000940944,2021Q2
028349,0000899051,2021Q2
014590,0000831259,2021Q2
012124,0000895421,2021Q2
004723,0000036104,2021Q2
008455,0000922224,2021Q2
027914,0000049071,2021Q2
003231,0000028412,2021Q2
061739,0000874766,2021Q2
004640,0000035527,2021Q2
003221,0000315293,2021Q2
009203,0001024478,2021Q2
023809,0000866787,2021Q2
010530,0000097745,2021Q2
012540,0000796343,2021Q2
002751,0000721371,2021Q2
013988,0000316709,2021Q2
004423,0000033185,2021Q2
001678,0001841666,2021Q2
013341,0000080661,2021Q2
005786,0000049196,2021Q2
010035,0000093751,2021Q2
006304,0000319201,2021Q2
065417,0001041061,2021Q2
011856,0000092230,2021Q2
014824,0000020286,2021Q2
004066,0000029989,2021Q2
007982,0000073124,2021Q2
009555,0001012100,2021Q2
004885,0000038777,2021Q2
028930,0001048286,2021Q2
008272,0001032208,2021Q2
030990,0000927628,2021Q2
014477,0000823768,2021Q2
004674,0001281761,2021Q2
008402,0000723531,2021Q2
024216,0000874761,2021Q2
003735,0000313616,2021Q2
013498,0000815097,2021Q2
007171,0000927653,2021Q2
002884,0000018926,2021Q2
003439,0000811156,2021Q2
001449,0000004977,2021Q2
061591,0001002047,2021Q2
002184,0000764478,2021Q2
011228,0001396009,2021Q2
024800,0000804328,2021Q2
001075,0000764622,2021Q2
001632,0000006281,2021Q2
012138,0001113169,2021Q2
006649,0000058492,2021Q2
022325,0000743988,2021Q2
061676,0000877890,2021Q2
126554,0001090872,2021Q2
025434,0000829224,2021Q2
014934,0001090012,2021Q2
016478,0000821189,2021Q2
007974,0001111711,2021Q2
002312,0000315213,2021Q2
027928,0000896878,2021Q2
133768,0001099219,2021Q2
010115,0000310764,2021Q2
003062,0000723254,2021Q2
012635,0000798354,2021Q2
011687,0000109380,2021Q2
144559,0001136869,2021Q2
031673,0001140859,2021Q2
117768,0001045810,2021Q2
028733,0000906107,2021Q2
061574,0001000697,2021Q2
029389,0001063761,2021Q2
114524,0001065088,2021Q2
016721,0000712515,2021Q2
010920,0001090727,2021Q2
143356,0001137774,2021Q2
145701,0001126328,2021Q2
114628,0000886982,2021Q2
145046,0001156039,2021Q2
003226,0001166691,2021Q2
064166,0001022079,2021Q2
007146,0000063754,2021Q2
015855,0000849399,2021Q2
024468,0000875045,2021Q2
004699,0000036270,2021Q2
015247,0001035002,2021Q2
024856,0000882095,2021Q2
140541,0001116132,2021Q2
014960,0000920148,2021Q2
063892,0001021860,2021Q2
025340,0000882184,2021Q2
002710,0000016918,2021Q2
010793,0000100493,2021Q2
011220,0000899689,2021Q2
010096,0001393311,2021Q2
164708,0000820027,2021Q2
006669,0000920760,2021Q2
064768,0001018724,2021Q2
061567,0001001250,2021Q2
066368,0001014473,2021Q2
064925,0001037540,2021Q2
024731,0000879101,2021Q2
160329,0001652044,2021Q2
121718,0001043604,2021Q2
149070,0001156375,2021Q2
175263,0001365135,2021Q2
260774,0001138118,2021Q2
165993,0001136893,2021Q2
111864,0001058290,2021Q2
029875,0000915912,2021Q2
064891,0001037038,2021Q2
065609,0001043277,2021Q2
007063,0001070750,2021Q2
142953,0001103982,2021Q2
157057,0001267238,2021Q2
177376,0001393612,2021Q2
125595,0001086222,2021Q2
027965,0000827054,2021Q2
163610,0001571949,2021Q2
126296,0001324424,2021Q2
004494,0000746515,2021Q2
006216,0000052988,2021Q2
105365,0001053507,2021Q2
179621,0001413329,2021Q2
013125,0000765880,2021Q2
136725,0001035267,2021Q2
020548,0000858470,2021Q2
160225,0001141391,2021Q2
061483,0000927066,2021Q2
029804,0000914208,2021Q2
163946,0001324404,2021Q2
157855,0001108524,2021Q2
014225,0000815556,2021Q2
005492,0000202058,2021Q2
014359,0001038357,2021Q2
014282,0000820313,2021Q2
149337,0001120193,2021Q2
011550,0000783325,2021Q2
013353,0000107815,2021Q2
009777,0000091419,2021Q2
016245,0001378946,2021Q2
013700,0000818479,2021Q2
149318,0001174922,2021Q2
112168,0001060391,2021Q2
062374,0001020569,2021Q2
005543,0000766704,2021Q2
110179,0000740260,2021Q2
005709,0000048465,2021Q2
007970,0000072741,2021Q2
028180,0000898173,2021Q2
066446,0001050915,2021Q2
011399,0000106040,2021Q2
004510,0000037785,2021Q2
119314,0001075531,2021Q2
179534,0001403161,2021Q2
009248,0000745732,2021Q2
024925,0000882835,2021Q2
135990,0001013871,2021Q2
002176,0001067983,2021Q2
164296,0001437107,2021Q2
008151,0001039684,2021Q2
012850,0000804753,2021Q2
064410,0001170010,2021Q2
028034,0000896159,2021Q2
006268,0000833444,2021Q2
005959,0001466258,2021Q2
147579,0001065280,2021Q2
121077,0001048695,2021Q2
133366,0001099800,2021Q2
124434,0002012383,2021Q2
165914,0001058090,2021Q2
029984,0001045609,2021Q2
186989,0001510295,2021Q2
143357,0001467373,2021Q2
162129,0001285785,2021Q2
177267,0001385157,2021Q2
189491,0001524472,2021Q2
028742,0000908255,2021Q2
024782,0001585364,2021Q2
031587,0000935703,2021Q2
113490,0001051470,2021Q2
170841,0001534701,2021Q2
006310,0001506307,2021Q2
062263,0000899866,2021Q2
006565,0000707549,2021Q2
024316,0000865752,2021Q2
150937,0001137789,2021Q2
294524,0001489393,2021Q2
008463,0000077360,2021Q2
004016,0000029534,2021Q2
141459,0001121788,2021Q2
118122,0001521332,2021Q2
016101,0001551152,2021Q2
008551,0000078239,2021Q2
023812,0000872589,2021Q2
006335,0000054480,2021Q2
005073,0001467858,2021Q2
013721,0001555280,2021Q2
018043,0001564708,2021Q2
100873,0001492633,2021Q2
003851,0000027904,2021Q2
024344,0000875320,2021Q2
001598,0001037868,2021Q2
316056,0001579241,2021Q2
170617,0001326801,2021Q2
025119,0000851968,2021Q2
029736,0000916365,2021Q2
030293,0000920522,2021Q2
165052,0001336917,2021Q2
180711,0001730168,2021Q2
029733,0000916076,2021Q2
011032,0000352915,2021Q2
066065,0001067701,2021Q2
028191,0000884887,2021Q2
022260,0000860730,2021Q2
001327,0000004127,2021Q2
061494,0001000228,2021Q2
001045,0000006201,2021Q2
138743,0001101239,2021Q2
175319,0001359841,2021Q2
030822,0000726728,2021Q2
064853,0001604778,2021Q2
005783,0000728535,2021Q2
005568,0001637459,2021Q2
145977,0001158449,2021Q2
024616,0001633917,2021Q2
180405,0000718877,2021Q2
010795,0000100517,2021Q2
180652,0001442145,2021Q2
026156,0001645590,2021Q2
020686,0001601712,2021Q2
138205,0001110803,2021Q2
003026,0000313927,2021Q2
144009,0001140536,2021Q2
160479,0001289490,2021Q2
004605,0000034903,2021Q2
021825,0000759944,2021Q2
179437,0001410636,2021Q2
010894,0000074208,2021Q2
020904,0000859737,2021Q2
145552,0001071739,2021Q2
178704,0001403568,2021Q2
141913,0001123360,2021Q2
001230,0000766421,2021Q2
160991,0001297996,2021Q2
155394,0001065696,2021Q2
004973,0000354190,2021Q2
148349,0001260221,2021Q2
188255,0001519751,2021Q2
029751,0000915913,2021Q2
011554,0000352541,2021Q2
026590,0001659166,2021Q2
065772,0001037646,2021Q2
126136,0001091667,2021Q2
003504,0000711404,2021Q2
029649,0000912595,2021Q2
024197,0000874716,2021Q2
029127,0000879169,2021Q2
184500,0001374310,2021Q2
029099,0000910606,2021Q2
060900,0001001082,2021Q2
024975,0000883241,2021Q2
008898,0000720005,2021Q2
064821,0001035443,2021Q2
001161,0000002488,2021Q2
003336,0001688568,2021Q2
012441,0000749251,2021Q2
162906,0001598014,2021Q2
061388,0001095073,2021Q2
005643,0001585689,2021Q2
063080,0001013462,2021Q2
141384,0001097149,2021Q2
031887,0000943819,2021Q2
009771,0000091142,2021Q2
128978,0000075677,2021Q2
014418,0000789570,2021Q2
013510,0000783280,2021Q2
017928,0001478242,2021Q2
121382,0001034054,2021Q2
004060,0001666700,2021Q2
013421,0000813672,2021Q2
104432,0001513761,2021Q2
186310,0001501585,2021Q2
175955,0001111928,2021Q2
017120,0000719739,2021Q2
064630,0000946581,2021Q2
178507,0001408198,2021Q2
013619,0000815094,2021Q2
006338,0001711269,2021Q2
018872,0001418091,2021Q2
176928,0001383312,2021Q2
184700,0001175454,2021Q2
029901,0000900075,2021Q2
020748,0001596532,2021Q2
009225,0000084839,2021Q2
183377,0001262039,2021Q2
025124,0001707925,2021Q2
020232,0001601046,2021Q2
011811,0000779152,2021Q2
170750,0001539838,2021Q2
014256,0000743316,2021Q2
028790,0001679273,2021Q2
162254,0001306830,2021Q2
014275,0001132979,2021Q2
010407,0000096943,2021Q2
004383,0000731802,2021Q2
060979,0000943452,2021Q2
034636,0001754301,2021Q2
034443,0001751788,2021Q2
035168,0001755672,2021Q2
100243,0001748790,2021Q2
158742,0001278021,2021Q2
017874,0001283699,2021Q2
015267,0000832101,2021Q2
165123,0001336920,2021Q2
028320,0001402057,2021Q2
012459,0000906163,2021Q2
161844,0001300514,2021Q2
171007,0001373715,2021Q2
014822,0000011544,2021Q2
024617,0000878927,2021Q2
025313,0001757898,2021Q2
165746,0001335258,2021Q2
024405,0000877212,2021Q2
020116,0001590955,2021Q2
030098,0001699150,2021Q2
036190,0001781335,2021Q2
036191,0001783180,2021Q2
160211,0001286681,2021Q2
162887,0001093557,2021Q2
011376,0000105770,2021Q2
010789,0000860731,2021Q2
002220,0000012208,2021Q2
126721,0001094285,2021Q2
023238,0001370637,2021Q2
020228,0001596783,2021Q2
010453,0000097210,2021Q2
061420,0000945841,2021Q2
007637,0001792044,2021Q2
184996,0001318605,2021Q2
187450,0001463101,2021Q2
022815,0000864749,2021Q2
160888,0001280452,2021Q2
184725,0001413447,2021Q2
021808,0001590895,2021Q2
183736,0001474735,2021Q2
030259,0000921738,2021Q2
018699,0000857005,2021Q2
137131,0001100682,2021Q2
038821,0001821825,2021Q2
009846,0000827052,2021Q3
003413,0001047862,2021Q3
004503,0000034088,2021Q3
001300,0000773840,2021Q3
002991,0000093410,2021Q3
006104,0000051434,2021Q3
003897,0000936340,2021Q3
007017,0000101778,2021Q3
009850,0000092122,2021Q3
008539,0001109357,2021Q3
008810,0000788784,2021Q3
007977,0000072903,2021Q3
001440,0000004904,2021Q3
005046,0000040533,2021Q3
003144,0000021344,2021Q3
004199,0001551182,2021Q3
005047,0000040545,2021Q3
006066,0000051143,2021Q3
008479,0000077476,2021Q3
008543,0000764180,2021Q3
008549,0001163165,2021Q3
005597,0000047111,2021Q3
006502,0000056873,2021Q3
007241,0000064803,2021Q3
007163,0000064040,2021Q3
006435,0000055785,2021Q3
010983,0000101829,2021Q3
008762,0000080424,2021Q3
002817,0000018230,2021Q3
003170,0000021665,2021Q3
003835,0000315189,2021Q3
002403,0000014272,2021Q3
002285,0000012927,2021Q3
004839,0000037996,2021Q3
001078,0000001800,2021Q3
002663,0000016732,2021Q3
029830,0001732845,2021Q3
008530,0000078003,2021Q3
003532,0000024741,2021Q3
008247,0000079879,2021Q3
007435,0000066740,2021Q3
007257,0000310158,2021Q3
007585,0000068505,2021Q3
028192,0000004281,2021Q3
007366,0000065984,2021Q3
005439,0000045012,2021Q3
008099,0001031296,2021Q3
010499,0000097476,2021Q3
011465,0000106640,2021Q3
006375,0000055067,2021Q3
011456,0000106535,2021Q3
009667,0000089800,2021Q3
003650,0000026172,2021Q3
004321,0000032604,2021Q3
009465,0000087347,2021Q3
003121,0000021076,2021Q3
005071,0000040704,2021Q3
007881,0001164727,2021Q3
010867,0000100885,2021Q3
007154,0000063908,2021Q3
006730,0000059478,2021Q3
002111,0000010795,2021Q3
002086,0000010456,2021Q3
006266,0000200406,2021Q3
005125,0000040987,2021Q3
005606,0000047217,2021Q3
011506,0000107263,2021Q3
006078,0000051253,2021Q3
007647,0000070858,2021Q3
004517,0000753308,2021Q3
003980,0001744489,2021Q3
001447,0000004962,2021Q3
003505,0000024545,2021Q3
004093,0001326160,2021Q3
062689,0000086312,2021Q3
006742,0000059558,2021Q3
002968,0000019617,2021Q3
008007,0000072971,2021Q3
006008,0000050863,2021Q3
003813,0000027419,2021Q3
010519,0000217346,2021Q3
011060,0000103379,2021Q3
011264,0001618921,2021Q3
139665,0001059556,2021Q3
001487,0000005272,2021Q3
008253,0000075362,2021Q3
004598,0001048911,2021Q3
002574,0000277948,2021Q3
001891,0000008670,2021Q3
005256,0000277135,2021Q3
007085,0000062996,2021Q3
001722,0000007084,2021Q3
002547,0001739940,2021Q3
007923,0000702165,2021Q3
011259,0000104169,2021Q3
009778,0000091440,2021Q3
010016,0000093556,2021Q3
002435,0000014693,2021Q3
001690,0000320193,2021Q3
008068,0000797468,2021Q3
004029,0000715957,2021Q3
003362,0000023217,2021Q3
006733,0000701985,2021Q3
002136,0000732712,2021Q3
009899,0000732717,2021Q3
006829,0000060667,2021Q3
008823,0000822416,2021Q3
001380,0000004447,2021Q3
006774,0000936468,2021Q3
005518,0000046080,2021Q3
001988,0000009389,2021Q3
001209,0000002969,2021Q3
008030,0000073309,2021Q3
004145,0000031791,2021Q3
007985,0001133421,2021Q3
005742,0001130310,2021Q3
011672,0000109198,2021Q3
004058,0000029905,2021Q3
008358,0000076334,2021Q3
005878,0000049826,2021Q3
004990,0000039911,2021Q3
007228,0001613103,2021Q3
010247,0000096021,2021Q3
032106,0001701605,2021Q3
007065,0000062709,2021Q3
001913,0000008818,2021Q3
005680,0000354950,2021Q3
008245,0000713676,2021Q3
003243,0000831001,2021Q3
007906,0000320187,2021Q3
004213,0000031462,2021Q3
007875,0000814453,2021Q3
010614,0000320335,2021Q3
012142,0001341439,2021Q3
001878,0000769397,2021Q3
010860,0001002910,2021Q3
001602,0000318154,2021Q3
006136,0000051644,2021Q3
029028,0000909832,2021Q3
020779,0000858877,2021Q3
029392,0000915389,2021Q3
009783,0000091576,2021Q3
012141,0000789019,2021Q3
010903,0000731766,2021Q3
009882,0000092380,2021Q3
007343,0000723125,2021Q3
013714,0000813828,2021Q3
025279,0000885725,2021Q3
001704,0000006951,2021Q3
002019,0001390777,2021Q3
006781,0000060086,2021Q3
031846,0000940944,2021Q3
028349,0000899051,2021Q3
014590,0000831259,2021Q3
012124,0000895421,2021Q3
004723,0000036104,2021Q3
008455,0000922224,2021Q3
027914,0000049071,2021Q3
003231,0000028412,2021Q3
061739,0000874766,2021Q3
004640,0000035527,2021Q3
003221,0000315293,2021Q3
009203,0001024478,2021Q3
023809,0000866787,2021Q3
010530,0000097745,2021Q3
012540,0000796343,2021Q3
002751,0000721371,2021Q3
013988,0000316709,2021Q3
004423,0000033185,2021Q3
001678,0001841666,2021Q3
013341,0000080661,2021Q3
005786,0000049196,2021Q3
010035,0000093751,2021Q3
006304,0000319201,2021Q3
065417,0001041061,2021Q3
011856,0000092230,2021Q3
014824,0000020286,2021Q3
004066,0000029989,2021Q3
007982,0000073124,2021Q3
009555,0001012100,2021Q3
004885,0000038777,2021Q3
028930,0001048286,2021Q3
008272,0001032208,2021Q3
030990,0000927628,2021Q3
014477,0000823768,2021Q3
004674,0001281761,2021Q3
008402,0000723531,2021Q3
024216,0000874761,2021Q3
003735,0000313616,2021Q3
013498,0000815097,2021Q3
007171,0000927653,2021Q3
002884,0000018926,2021Q3
003439,0000811156,2021Q3
001449,0000004977,2021Q3
061591,0001002047,2021Q3
002184,0000764478,2021Q3
011228,0001396009,2021Q3
024800,0000804328,2021Q3
001075,0000764622,2021Q3
001632,0000006281,2021Q3
012138,0001113169,2021Q3
006649,0000058492,2021Q3
022325,0000743988,2021Q3
061676,0000877890,2021Q3
126554,0001090872,2021Q3
025434,0000829224,2021Q3
014934,0001090012,2021Q3
016478,0000821189,2021Q3
007974,0001111711,2021Q3
002312,0000315213,2021Q3
027928,0000896878,2021Q3
133768,0001099219,2021Q3
010115,0000310764,2021Q3
003062,0000723254,2021Q3
012635,0000798354,2021Q3
011687,0000109380,2021Q3
144559,0001136869,2021Q3
031673,0001140859,2021Q3
117768,0001045810,2021Q3
028733,0000906107,2021Q3
061574,0001000697,2021Q3
029389,0001063761,2021Q3
114524,0001065088,2021Q3
016721,0000712515,2021Q3
010920,0001090727,2021Q3
143356,0001137774,2021Q3
145701,0001126328,2021Q3
114628,0000886982,2021Q3
145046,0001156039,2021Q3
003226,0001166691,2021Q3
064166,0001022079,2021Q3
007146,0000063754,2021Q3
015855,0000849399,2021Q3
024468,0000875045,2021Q3
004699,0000036270,2021Q3
015247,0001035002,2021Q3
024856,0000882095,2021Q3
140541,0001116132,2021Q3
014960,0000920148,2021Q3
025340,0000882184,2021Q3
002710,0000016918,2021Q3
010793,0000100493,2021Q3
011220,0000899689,2021Q3
010096,0001393311,2021Q3
164708,0000820027,2021Q3
006669,0000920760,2021Q3
064768,0001018724,2021Q3
