gvkey,cik,quarter
027845,0001578845,2020Q1
003439,0000811156,2020Q1
001449,0000004977,2020Q1
061591,0001002047,2020Q1
002184,0000764478,2020Q1
011228,0001396009,2020Q1
024800,0000804328,2020Q1
001075,0000764622,2020Q1
001632,0000006281,2020Q1
012138,0001113169,2020Q1
006649,0000058492,2020Q1
022325,0000743988,2020Q1
061676,0000877890,2020Q1
012389,0000793952,2020Q1
126554,0001090872,2020Q1
025434,0000829224,2020Q1
013646,0000098246,2020Q1
014934,0001090012,2020Q1
016478,0000821189,2020Q1
007974,0001111711,2020Q1
002312,0000315213,2020Q1
027928,0000896878,2020Q1
133768,0001099219,2020Q1
010115,0000310764,2020Q1
003062,0000723254,2020Q1
012635,0000798354,2020Q1
011687,0000109380,2020Q1
144559,0001136869,2020Q1
031673,0001140859,2020Q1
117768,0001045810,2020Q1
028733,0000906107,2020Q1
061574,0001000697,2020Q1
029389,0001063761,2020Q1
114524,0001065088,2020Q1
016721,0000712515,2020Q1
010920,0001090727,2020Q1
143356,0001137774,2020Q1
145701,0001126328,2020Q1
114628,0000886982,2020Q1
145046,0001156039,2020Q1
003226,0001166691,2020Q1
064166,0001022079,2020Q1
030490,0000922864,2020Q1
007146,0000063754,2020Q1
015855,0000849399,2020Q1
024468,0000875045,2020Q1
004699,0000036270,2020Q1
063501,0001015780,2020Q1
007637,0001792044,2020Q1
015247,0001035002,2020Q1
024856,0000882095,2020Q1
140541,0001116132,2020Q1
014960,0000920148,2020Q1
063892,0001021860,2020Q1
025340,0000882184,2020Q1
002710,0000016918,2020Q1
010793,0000100493,2020Q1
011220,0000899689,2020Q1
010096,0001393311,2020Q1
164708,0000820027,2020Q1
006669,0000920760,2020Q1
064768,0001018724,2020Q1
061567,0001001250,2020Q1
066368,0001014473,2020Q1
064925,0001037540,2020Q1
024731,0000879101,2020Q1
160329,0001652044,2020Q1
121718,0001043604,2020Q1
149070,0001156375,2020Q1
175263,0001365135,2020Q1
260774,0001138118,2020Q1
165993,0001136893,2020Q1
111864,0001058290,2020Q1
029875,0000915912,2020Q1
064891,0001037038,2020Q1
011115,0000203527,2020Q1
065609,0001043277,2020Q1
007063,0001070750,2020Q1
142953,0001103982,2020Q1
157057,0001267238,2020Q1
177376,0001393612,2020Q1
125595,0001086222,2020Q1
027965,0000827054,2020Q1
163610,0001571949,2020Q1
126296,0001324424,2020Q1
007912,0000072207,2020Q1
004494,0000746515,2020Q1
006216,0000052988,2020Q1
105365,0001053507,2020Q1
179621,0001413329,2020Q1
013125,0000765880,2020Q1
136725,0001035267,2020Q1
020548,0000858470,2020Q1
160225,0001141391,2020Q1
061483,0000927066,2020Q1
029804,0000914208,2020Q1
163946,0001324404,2020Q1
157855,0001108524,2020Q1
014225,0000815556,2020Q1
005492,0000202058,2020Q1
014359,0001038357,2020Q1
014282,0000820313,2020Q1
004108,0000030625,2020Q1
149337,0001120193,2020Q1
011550,0000783325,2020Q1
013353,0000107815,2020Q1
009777,0000091419,2020Q1
016245,0001378946,2020Q1
013700,0000818479,2020Q1
149318,0001174922,2020Q1
112168,0001060391,2020Q1
028477,0000354908,2020Q1
062374,0001020569,2020Q1
005543,0000766704,2020Q1
110179,0000740260,2020Q1
005709,0000048465,2020Q1
007970,0000072741,2020Q1
028180,0000898173,2020Q1
066446,0001050915,2020Q1
011399,0000106040,2020Q1
004510,0000037785,2020Q1
119314,0001075531,2020Q1
179534,0001403161,2020Q1
009248,0000745732,2020Q1
024925,0000882835,2020Q1
135990,0001013871,2020Q1
002176,0001067983,2020Q1
164296,0001437107,2020Q1
005581,0000046765,2020Q1
008151,0001039684,2020Q1
012850,0000804753,2020Q1
064410,0001170010,2020Q1
028034,0000896159,2020Q1
006268,0000833444,2020Q1
005959,0001466258,2020Q1
147579,0001065280,2020Q1
121077,0001048695,2020Q1
133366,0001099800,2020Q1
124434,0002012383,2020Q1
165914,0001058090,2020Q1
029984,0001045609,2020Q1
186989,0001510295,2020Q1
143357,0001467373,2020Q1
162129,0001285785,2020Q1
177267,0001385157,2020Q1
189491,0001524472,2020Q1
028742,0000908255,2020Q1
024782,0001585364,2020Q1
031587,0000935703,2020Q1
113490,0001051470,2020Q1
170841,0001534701,2020Q1
006310,0001506307,2020Q1
062263,0000899866,2020Q1
006565,0000707549,2020Q1
024316,0000865752,2020Q1
150937,0001137789,2020Q1
294524,0001489393,2020Q1
008463,0000077360,2020Q1
004016,0000029534,2020Q1
141459,0001121788,2020Q1
118122,0001521332,2020Q1
016101,0001551152,2020Q1
008551,0000078239,2020Q1
023812,0000872589,2020Q1
006335,0000054480,2020Q1
005073,0001467858,2020Q1
013721,0001555280,2020Q1
018043,0001564708,2020Q1
100873,0001492633,2020Q1
003851,0000027904,2020Q1
024344,0000875320,2020Q1
001598,0001037868,2020Q1
198058,0001530721,2020Q1
316056,0001579241,2020Q1
170617,0001326801,2020Q1
143974,0001101215,2020Q1
025119,0000851968,2020Q1
029736,0000916365,2020Q1
030293,0000920522,2020Q1
165052,0001336917,2020Q1
180711,0001730168,2020Q1
029733,0000916076,2020Q1
011032,0000352915,2020Q1
066065,0001067701,2020Q1
028191,0000884887,2020Q1
022260,0000860730,2020Q1
001327,0000004127,2020Q1
061494,0001000228,2020Q1
001045,0000006201,2020Q1
138743,0001101239,2020Q1
175319,0001359841,2020Q1
065290,0001040971,2020Q1
030822,0000726728,2020Q1
064853,0001604778,2020Q1
005783,0000728535,2020Q1
005568,0001637459,2020Q1
145977,0001158449,2020Q1
024616,0001633917,2020Q1
180405,0000718877,2020Q1
010795,0000100517,2020Q1
180652,0001442145,2020Q1
026156,0001645590,2020Q1
020686,0001601712,2020Q1
138205,0001110803,2020Q1
003026,0000313927,2020Q1
144009,0001140536,2020Q1
160479,0001289490,2020Q1
004605,0000034903,2020Q1
021825,0000759944,2020Q1
177884,0001358071,2020Q1
179437,0001410636,2020Q1
010894,0000074208,2020Q1
020904,0000859737,2020Q1
145552,0001071739,2020Q1
178704,0001403568,2020Q1
141913,0001123360,2020Q1
001230,0000766421,2020Q1
160991,0001297996,2020Q1
155394,0001065696,2020Q1
004973,0000354190,2020Q1
148349,0001260221,2020Q1
188255,0001519751,2020Q1
029751,0000915913,2020Q1
011554,0000352541,2020Q1
026590,0001659166,2020Q1
065772,0001037646,2020Q1
126136,0001091667,2020Q1
003504,0000711404,2020Q1
012151,0001024305,2020Q1
029649,0000912595,2020Q1
024197,0000874716,2020Q1
030923,0001681459,2020Q1
029127,0000879169,2020Q1
184500,0001374310,2020Q1
029099,0000910606,2020Q1
060900,0001001082,2020Q1
024975,0000883241,2020Q1
008898,0000720005,2020Q1
064821,0001035443,2020Q1
