file,avg_tfidf_finneg,avg_tfidf_h4n,doc_length,filing_date,cik,conml,gvkey,permno,excess_return_3d
20200130_10-K_edgar_data_1326801_0001326801-20-000013_1.txt,2.543269379431565e-07,1.797819847158519e-07,2026028,2020-01-30,1326801,Meta Platforms Inc,170617,13407.0,-0.07649380166023312
20200130_10-K_edgar_data_822416_0000822416-20-000007_1.txt,1.481343604259134e-07,1.3275521941801706e-07,2822245,2020-01-30,822416,PulteGroup Inc,008823,54148.0,-0.03380253386482679
20200130_10-Q_edgar_data_1140859_0001140859-20-000008_1.txt,3.157927869717816e-07,2.0003541858592105e-07,879376,2020-01-30,1140859,Cencora Inc,031673,81540.0,-0.00013735087613153674
20200130_10-Q_edgar_data_1604778_0001604778-20-000008_1.txt,6.273119637666702e-08,6.217003128361503e-08,1794114,2020-01-30,1604778,Qorvo Inc,064853,85035.0,-0.028823231443222852
20200130_10-Q_edgar_data_38777_0000038777-20-000011_1.txt,1.4936477835853605e-07,1.1475435113302486e-07,1511627,2020-01-30,38777,Franklin Resources Inc,004885,37584.0,0.041458259054068636
20200131_10-K_edgar_data_1018724_0001018724-20-000004_1.txt,2.295301812786348e-07,1.7709302622634377e-07,1878903,2020-01-31,1018724,Amazon.com Inc,064768,84788.0,0.07844354774849172
20200131_10-K_edgar_data_1065088_0001065088-20-000006_1.txt,2.3467228291912134e-07,1.6315838015040434e-07,2631366,2020-01-31,1065088,eBay Inc.,114524,86356.0,0.06631865254711555
20200131_10-K_edgar_data_1091667_0001091667-20-000024_1.txt,9.695338221736533e-08,9.796749454817627e-08,3980892,2020-01-31,1091667,Charter Communications Inc,126136,12308.0,0.05057825257843196
20200131_10-K_edgar_data_12927_0000012927-20-000014_1.txt,1.3880083073541806e-07,1.3397551166359992e-07,3847619,2020-01-31,12927,Boeing Co,002285,19561.0,0.03854024532052347
20200131_10-Q_edgar_data_1383312_0001383312-20-000013_1.txt,3.533677204583931e-07,2.281219200329412e-07,2008884,2020-01-31,1383312,Broadridge Financial Solutions Inc,176928,91849.0,-0.09269532647714884
